Species,Population,Diversity
Cape,156,10.93137681990141
Cape,157,10.282655426765016
Cape,163,9.6
Cape,164,11.866666666666667
Cape,166,10.2
Cape,48,9.039024390243902
Cape,73,10.353617308992563
Cape,75,11.646222583674655
Cape,77,8.0
Cape,98,8.0 
Cape,Aqu,10.362352941176471
Cape,Const,11.34017637925364
Cape,ESan,9.753846153846153
Cape,Mat,9.56
Mainland,101,14.241250374236037
Mainland,102,13.016954009975624
Mainland,32,15.137296271907635
Peninsula,12,14.26216599565879
Peninsula,153,11.241641921733887
Peninsula,157,9.2
Peninsula,159,12.950309864909988
Peninsula,160,15.633012527986267
Peninsula,161,14.90808312517873
Peninsula,162,14.103303309372183
Peninsula,163,8.324324324324325
Peninsula,164,12.528387776606955
Peninsula,165,15.640703468081012
Peninsula,166,13.501578239555768
Peninsula,168,13.720275717104276
Peninsula,169,14.40881109228152
Peninsula,171,12.712660454356158
Peninsula,173,13.095295744762973
Peninsula,175,12.055283690237435
Peninsula,177,12.949313114018997
Peninsula,51,11.395435435435436
Peninsula,58,12.062216584747107
Peninsula,64,11.54526582862415
Peninsula,73,9.6
Peninsula,75,8
Peninsula,77,11.109499736184597
Peninsula,84,11.479854991245189
Peninsula,88,12.468975085481404
Peninsula,89,13.07028870352024
Peninsula,9,10.3576707174141
Peninsula,93,14.153315122002718
Peninsula,98,9
Peninsula,Aqu,10.344615384615384
Peninsula,Const,11.753846153846153
Peninsula,ESan,9.6
Peninsula,Mat,5
Peninsula,SFr,13.057356889681126
