Site,Males,Females,Suitability,MFRatio,GenVarArapat,GenVarEuphli,Latitude,Longitude
32,40,27,0.0563,1.4815,0.1436067,0.2185199,26.63783,-109.327
73,11,5,0.1455,2.2000,0.1373044,0.2534679,24.00789,-109.85071
93,25,21,0.1627,1.1905,0.1630808,0.1325203,26.94589,-112.04613
const,18,11,0.1744,1.6364,0.2803589,0.2347578,25.0247,-111.675
159,22,15,0.1880,1.4667,0.1598019,0.08087207,27.52944,-113.31609
88,23,18,0.2186,1.2778,0.2661293,0.1755717,29.32541,-114.29353
177,49,50,0.2618,0.9800,0.3378662,0.05,28.66056,-113.99141
166,19,26,0.2673,0.7308,0.1199947,0.2859938,25.91409,-112.08062
161,64,63,0.2791,1.0159,0.2523224,0.1707273,27.0367,-112.986
64,16,19,0.2876,0.8421,0.1410116,0.2509184,25.60521,-111.32638
169,47,28,0.3132,1.6786,0.1222343,0.3186825,26.20876,-111.37833
sfran,26,16,0.3211,1.6250,0.3230931,0.2381493,27.3632,-112.964
12,24,21,0.3519,1.1429,0.2277851,0.2377844,27.18232,-112.66552
160,48,36,0.3652,1.3333,0.1480934,0.5121939,27.40498,-112.52959
84,13,17,0.3953,0.7647,0.312012,0.179916,28.96651,-113.66787
89,18,19,0.3975,0.9474,0.3253459,0.2455224,28.03661,-113.39991
51,9,11,0.4125,0.8182,0.1680184,0.1205391,25.34819,-111.60056
175,13,8,0.4214,1.6250,0.05,0.1916843,28.72796,-113.48973
77,19,16,0.4226,1.1875,0.06693166,0.2118707,24.87611,-110.69175
163,21,21,0.4329,1,0.2981216,0.3375295,24.2115,-110.951
171,38,39,0.4614,0.9744,0.2305588,0.3041701,28.22308,-113.18263
168,28,25,0.4965,1.1200,0.2308527,0.2171192,25.55757,-111.21563
173,19,32,0.5243,0.5938,0.2104253,0.2128978,28.40846,-112.86985
9,11,10,0.5641,1.1000,0.2001697,0.2281047,29.01457,-113.94486
162,57,41,0.6136,1.3902,0.2193927,0.2151409,27.2028,-112.408
48,18,27,0.6195,0.6667,0.1151138,0.2128757,24.21441,-110.27252
Aqu,12,9,0.7217,1.3333,0.1197426,0.09682475,23.2855,-110.10429
153,35,41,0.7325,0.8537,0.3327388,0.2759235,24.13389,-110.46236
75,16,18,0.8656,0.8889,0.1347469,0.252415,24.58843,-110.74599
157,26,30,0.8810,0.8667,0.1502948,0.1914323,24.0195,-110.096
58,11,9,0.9019,1.2222,0.2324703,0.1746291,26.0155,-111.35475
101,11,8,0.4302,1.3750,0.9710836,0.8979275,27.90509,-110.5744
102,27,25,0.9259,1.0800,0.1068314,0.7804934,26.38014,-109.1263
